metrics,query,galago,anserini,galago_best,anserini_best,abs_diff
Rprec,enwiki:Antibiotics/Research/Resistance-modifying%20agents,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Research/Resistance-modifying%20agents,0.0333,0.05,-0.0167,0.0167,0.0167
P_20,enwiki:Antibiotics/Research/Resistance-modifying%20agents,0.0,0.05,-0.05,0.05,0.05
recall_40,enwiki:Antibiotics/Research/Resistance-modifying%20agents,0.5,0.5,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Research/Resistance-modifying%20agents,0.0,0.1396,-0.1396,0.1396,0.1396
map,enwiki:Antibiotics/Research/Vaccines,0.0,0.0,0.0,0.0,0.0
Rprec,enwiki:Antibiotics/Research/Vaccines,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Research/Vaccines,0.0,0.0,0.0,0.0,0.0
P_20,enwiki:Antibiotics/Research/Vaccines,0.0,0.0,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Research/Vaccines,0.0,0.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Research/Vaccines,0.0,0.0,0.0,0.0,0.0
map,enwiki:Antibiotics/Resistance,0.0081,0.0114,-0.003300000000000001,0.003300000000000001,0.003300000000000001
Rprec,enwiki:Antibiotics/Resistance,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Resistance,0.0204,0.0312,-0.010799999999999997,0.010799999999999997,0.010799999999999997
P_20,enwiki:Antibiotics/Resistance,0.0,0.0,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Resistance,0.0,0.1667,-0.1667,0.1667,0.1667
ndcg_cut_20,enwiki:Antibiotics/Resistance,0.0,0.0,0.0,0.0,0.0
map,enwiki:Antibiotics/Resistance/Misuse,0.0856,0.1502,-0.0646,0.0646,0.0646
Rprec,enwiki:Antibiotics/Resistance/Misuse,0.0,0.2,-0.2,0.2,0.2
recip_rank,enwiki:Antibiotics/Resistance/Misuse,0.0909,0.2,-0.10910000000000002,0.10910000000000002,0.10910000000000002
P_20,enwiki:Antibiotics/Resistance/Misuse,0.15,0.15,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Resistance/Misuse,0.6,0.6,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Resistance/Misuse,0.2599,0.3311,-0.07119999999999999,0.07119999999999999,0.07119999999999999
map,enwiki:Antibiotics/Side-effects,0.2583,0.1845,0.07379999999999998,-0.07379999999999998,0.07379999999999998
Rprec,enwiki:Antibiotics/Side-effects,0.5,0.0,0.5,-0.5,0.5
recip_rank,enwiki:Antibiotics/Side-effects,0.5,0.3333,0.16670000000000001,-0.16670000000000001,0.16670000000000001
P_20,enwiki:Antibiotics/Side-effects,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Side-effects,0.5,0.5,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Side-effects,0.3869,0.3066,0.08030000000000004,-0.08030000000000004,0.08030000000000004
map,enwiki:Antibiotics/Side-effects/Obesity,1.0,1.0,0.0,0.0,0.0
Rprec,enwiki:Antibiotics/Side-effects/Obesity,1.0,1.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Side-effects/Obesity,1.0,1.0,0.0,0.0,0.0
P_20,enwiki:Antibiotics/Side-effects/Obesity,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Side-effects/Obesity,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Side-effects/Obesity,1.0,1.0,0.0,0.0,0.0
map,enwiki:Antimicrobial%20resistance,0.1258,0.2527,-0.12689999999999999,0.12689999999999999,0.12689999999999999
Rprec,enwiki:Antimicrobial%20resistance,0.25,0.25,0.0,0.0,0.0
recip_rank,enwiki:Antimicrobial%20resistance,0.5,1.0,-0.5,0.5,0.5
P_20,enwiki:Antimicrobial%20resistance,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Antimicrobial%20resistance,0.25,0.25,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antimicrobial%20resistance,0.2463,0.3904,-0.14410000000000003,0.14410000000000003,0.14410000000000003
map,enwiki:Antimicrobial%20resistance/Applications,0.0,0.0,0.0,0.0,0.0
Rprec,enwiki:Antimicrobial%20resistance/Applications,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antimicrobial%20resistance/Applications,0.0,0.0,0.0,0.0,0.0
P_20,enwiki:Antimicrobial%20resistance/Applications,0.0,0.0,0.0,0.0,0.0
